price_ref,mid,bid,ask,inventory,cash,equity,reason
115236.66,115231.475,,,0.0,0.0,0.0,risk_block
115272.71,115254.685,,,0.0,0.0,0.0,risk_block
115273.69,115278.275,,,0.0,0.0,0.0,risk_block
115281.99,115277.84,,,0.0,0.0,0.0,risk_block
115254.06,115268.025,,,0.0,0.0,0.0,risk_block
115219.45,115236.75,,,0.0,0.0,0.0,risk_block
115219.45,115219.445,,,0.0,0.0,0.0,risk_block
115200.01,115209.725,,,0.0,0.0,0.0,risk_block
115142.74,115171.37,,,0.0,0.0,0.0,risk_block
115142.73,115142.735,,,0.0,0.0,0.0,risk_block
115142.74,115142.735,,,0.0,0.0,0.0,risk_block
115160.41,115151.57,,,0.0,0.0,0.0,risk_block
115160.42,115160.41500000001,,,0.0,0.0,0.0,risk_block
115160.41,115160.41500000001,,,0.0,0.0,0.0,risk_block
115151.46,115155.94,,,0.0,0.0,0.0,risk_block
115138.56,115145.01000000001,,,0.0,0.0,0.0,risk_block
115138.56,115138.555,,,0.0,0.0,0.0,risk_block
115206.89,115172.72,,,0.0,0.0,0.0,risk_block
115226.05,115216.47,,,0.0,0.0,0.0,risk_block
115223.32,115213.4,,,0.0,0.0,0.0,risk_block
115209.74,115216.58499999999,,,0.0,0.0,0.0,risk_block
115229.08,115219.405,,,0.0,0.0,0.0,risk_block
115234.45,115231.76000000001,,,0.0,0.0,0.0,risk_block
115224.0,115229.225,,,0.0,0.0,0.0,risk_block
115240.0,115232.0,,,0.0,0.0,0.0,risk_block
115319.99,115281.9,,,0.0,0.0,0.0,risk_block
115314.79,115305.61499999999,,,0.0,0.0,0.0,risk_block
115325.82,115320.31,,,0.0,0.0,0.0,risk_block
115325.81,115320.08,,,0.0,0.0,0.0,risk_block
115325.81,115325.815,,,0.0,0.0,0.0,risk_block
115268.18,115297.0,,,0.0,0.0,0.0,risk_block
115239.39,115253.785,,,0.0,0.0,0.0,risk_block
115239.39,115239.38500000001,,,0.0,0.0,0.0,risk_block
115288.23,115263.805,,,0.0,0.0,0.0,risk_block
115288.23,115288.23000000001,,,0.0,0.0,0.0,risk_block
115246.48,115267.36,,,0.0,0.0,0.0,risk_block
115249.99,115246.4,,,0.0,0.0,0.0,risk_block
115218.96,115234.48000000001,,,0.0,0.0,0.0,risk_block
115200.85,115209.905,,,0.0,0.0,0.0,risk_block
115129.9,115165.375,,,0.0,0.0,0.0,risk_block
115129.91,115129.905,,,0.0,0.0,0.0,risk_block
115129.91,115129.905,,,0.0,0.0,0.0,risk_block
115123.25,115126.58,,,0.0,0.0,0.0,risk_block
115153.86,115138.56,,,0.0,0.0,0.0,risk_block
115104.0,115128.93,,,0.0,0.0,0.0,risk_block
115100.29,115102.15,,,0.0,0.0,0.0,risk_block
115100.3,115100.295,,,0.0,0.0,0.0,risk_block
115086.75,115093.52,,,0.0,0.0,0.0,risk_block
115100.29,115093.52,,,0.0,0.0,0.0,risk_block
115119.95,115110.125,,,0.0,0.0,0.0,risk_block
115119.95,115119.955,,,0.0,0.0,0.0,risk_block
115119.96,115119.955,,,0.0,0.0,0.0,risk_block
115119.95,115119.955,,,0.0,0.0,0.0,risk_block
115092.9,115106.43,,,0.0,0.0,0.0,risk_block
115090.91,115091.905,,,0.0,0.0,0.0,risk_block
115090.9,115090.905,,,0.0,0.0,0.0,risk_block
115090.9,115090.905,,,0.0,0.0,0.0,risk_block
115077.28,115084.09,,,0.0,0.0,0.0,risk_block
115077.28,115077.275,,,0.0,0.0,0.0,risk_block
115077.27,115077.275,,,0.0,0.0,0.0,risk_block
115074.0,115075.64,,,0.0,0.0,0.0,risk_block
115074.01,115074.005,,,0.0,0.0,0.0,risk_block
115074.01,115074.005,,,0.0,0.0,0.0,risk_block
115074.01,115074.005,,,0.0,0.0,0.0,risk_block
115074.0,115074.005,,,0.0,0.0,0.0,risk_block
115074.0,115074.005,,,0.0,0.0,0.0,risk_block
115062.79,115068.4,,,0.0,0.0,0.0,risk_block
115056.0,115059.4,,,0.0,0.0,0.0,risk_block
115035.39,115045.695,,,0.0,0.0,0.0,risk_block
115035.4,115035.39499999999,,,0.0,0.0,0.0,risk_block
115001.89,115018.64,,,0.0,0.0,0.0,risk_block
115043.71,115022.8,,,0.0,0.0,0.0,risk_block
115060.0,115051.85,,,0.0,0.0,0.0,risk_block
115062.45,115061.22,,,0.0,0.0,0.0,risk_block
115062.44,115062.445,,,0.0,0.0,0.0,risk_block
115062.45,115062.445,,,0.0,0.0,0.0,risk_block
115091.03,115075.51000000001,,,0.0,0.0,0.0,risk_block
115106.4,115098.715,,,0.0,0.0,0.0,risk_block
115106.4,115106.39499999999,,,0.0,0.0,0.0,risk_block
115136.84,115121.61499999999,,,0.0,0.0,0.0,risk_block
115155.0,115145.91500000001,,,0.0,0.0,0.0,risk_block
115166.94,115161.03,,,0.0,0.0,0.0,risk_block
115176.01,115171.47,,,0.0,0.0,0.0,risk_block
115197.05,115186.525,,,0.0,0.0,0.0,risk_block
115213.01,115205.035,,,0.0,0.0,0.0,risk_block
115213.02,115213.015,,,0.0,0.0,0.0,risk_block
115091.92,115152.47,,,0.0,0.0,0.0,risk_block
115073.46,115082.695,,,0.0,0.0,0.0,risk_block
115085.73,115079.595,,,0.0,0.0,0.0,risk_block
115028.0,115056.86499999999,,,0.0,0.0,0.0,risk_block
115051.14,115039.57,,,0.0,0.0,0.0,risk_block
115067.0,115059.065,,,0.0,0.0,0.0,risk_block
115104.86,115085.93,,,0.0,0.0,0.0,risk_block
115137.99,115121.43,,,0.0,0.0,0.0,risk_block
115163.57,115150.785,,,0.0,0.0,0.0,risk_block
115186.87,115175.22,,,0.0,0.0,0.0,risk_block
115199.81,115179.975,,,0.0,0.0,0.0,risk_block
115218.56,115209.185,,,0.0,0.0,0.0,risk_block
115256.69,115237.63,,,0.0,0.0,0.0,risk_block
115271.48,115264.09,,,0.0,0.0,0.0,risk_block
115248.7,115263.975,,,0.0,0.0,0.0,risk_block
115248.69,115248.695,,,0.0,0.0,0.0,risk_block
115244.36,115246.53,,,0.0,0.0,0.0,risk_block
115244.36,115244.36499999999,,,0.0,0.0,0.0,risk_block
115244.36,115244.36499999999,,,0.0,0.0,0.0,risk_block
115262.94,115253.655,,,0.0,0.0,0.0,risk_block
115272.45,115262.43,,,0.0,0.0,0.0,risk_block
115258.01,115268.635,,,0.0,0.0,0.0,risk_block
115258.02,115258.015,,,0.0,0.0,0.0,risk_block
115245.8,115251.91,,,0.0,0.0,0.0,risk_block
115240.01,115242.905,,,0.0,0.0,0.0,risk_block
115261.36,115250.68,,,0.0,0.0,0.0,risk_block
115269.52,115265.44,,,0.0,0.0,0.0,risk_block
115258.0,115263.765,,,0.0,0.0,0.0,risk_block
